"job_title","company_name","source","id","timestamp","timezone"
"SENIOR ACCOUNTING","PT. Wakaka Group Indonesia","Jobstreet","3952239","2022-07-11 11:58:14","UTC"
"Finance Accounting Specialist","Shopee Internasional Indonesia","Jobstreet","3953083","2022-07-12 11:58:36","UTC"
"Finance Staff","Zeals Asia","Glints Native","359f3c85-f010-4193-828a-3517b2ff441d","2022-07-13 11:51:08","UTC"
"IT AUDITOR","PT Mega Central Finance","Jobstreet","3957309","2022-07-14 11:42:04","UTC"
"Internal Audit Compliance Staff","PT Bali Towerindo Sentra Tbk","Jobstreet","3956662","2022-07-14 11:42:04","UTC"
"Internal Audit Specialist","PT Central Mega Kencana","Jobstreet","3957108","2022-07-14 11:42:04","UTC"
"Finance Administration","PT Sinarmas Sentra Cipta (PT SSC)","Jobstreet","3956613","2022-07-14 11:42:04","UTC"
"Legal and Compliance Division Head","PT TOTALINDO EKA PERSADA Tbk (TOPS)","Glints Native","4710246d-cd43-427c-bfe0-4d2e9c84b4aa","2022-07-14 11:42:49","UTC"
"Legal Corporate","Pt Sumber Data Indonesia","Glints Native","b6ab9b3f-4367-4d16-ad9d-9acd94b32119","2022-07-15 11:49:42","UTC"
"IT Security","PT Indodax","Jobstreet","3960995","2022-07-18 11:48:33","UTC"
"IT Security Officer","Agung Sedayu Group","Jobstreet","3959416","2022-07-18 11:48:33","UTC"
"Data Security Compliance Officer","","Jobstreet","3960105","2022-07-18 11:48:33","UTC"
"Internal Audit (MT)","PT Esta Dana Ventura (Jakarta)","Jobstreet","3959624","2022-07-18 11:48:33","UTC"
"Internal Audit (MT)","PT Esta Dana Ventura (Jakarta)","Jobstreet","3959624","2022-07-18 11:48:33","UTC"
"FINANCE ACCOUNTING","PT Gunawi Berkat Utama","Jobstreet","3961244","2022-07-19 11:54:08","UTC"
"Head of Internal Audit - Life Insurance & Big 4 Background","PT Michael Page Internasional Indonesia","Jobstreet","3963614","2022-07-20 11:48:56","UTC"
"Staff Internal Audit","PT Balina Agung Perkasa","Jobstreet","3967067","2022-07-22 11:51:38","UTC"
"Information Security and Compliance Analyst","PT Xynexis International","Glints Native","87146dfa-f378-4735-9cab-62d452c61c50","2022-07-22 11:52:37","UTC"
"Accounting Staff for F&B Division","M Bloc Space","Glints Native","85f5890f-dbc0-40b2-a511-0d1b89873d63","2022-07-25 23:54:12","UTC"
"IT Compliance Audit Specialist","PT Sentra Usahatama Jaya","Jobstreet","3969858","2022-07-26 11:50:55","UTC"
"Operation Audit Supervisor","PT Bussan Auto Finance (BAF)","Jobstreet","3969749","2022-07-26 11:50:55","UTC"
"Internal Control Jakarta","Maybank Finance","Glints Native","af6043f5-fcc5-49bb-95d0-75497d51461a","2022-07-27 00:03:28","UTC"
"Regulatory Reporting and Compliance Officer","Transfez","Glints Native","861c90c2-6c4d-4d93-8d49-095c0acf79d6","2022-08-01 11:43:58","UTC"
"Junior Internal Auditor","Jakmall.com","Glints Native","4a697a74-8c3c-4c42-ac78-bc645d392d0f","2022-08-01 11:43:58","UTC"
"INTERNAL AUDITOR OFFICER","PT Tatalogam Lestari","Jobstreet","3980139","2022-08-03 11:59:44","UTC"
"IT Strategic and Governance","PT Lawencon Internasional","Jobstreet","3980884","2022-08-03 11:59:44","UTC"
"Internal Audit Staff","PT MTH Global Investama","Jobstreet","3983155","2022-08-05 11:56:56","UTC"
"Internal Control (IC) - Jakarta","PT Maybank Indonesia Finance","Jobstreet","3986118","2022-08-08 23:54:08","UTC"
"Internal Control Staff - CS2","Orang Tua Group","Jobstreet","3987730","2022-08-09 11:48:52","UTC"
"Compliance & Internal Audit Staff","PT Kb Valbury Sekuritas","Jobstreet","3987290","2022-08-09 11:48:52","UTC"
"IT Risk & Compliance Staff","Agung Sedayu Group","Jobstreet","3987031","2022-08-09 11:48:52","UTC"
"Reporting and Costing Officer (Marunda Placement)","PT SMART,Tbk","Jobstreet","3987115","2022-08-09 11:48:52","UTC"
"Internal Audit Internship","Agung Sedayu Group","Jobstreet","3990033","2022-08-10 11:48:56","UTC"
"Internal Audit Staff","Agung Sedayu Group","Jobstreet","3990026","2022-08-10 11:48:56","UTC"
"Internal Auditor","Yayasan Sahid Jaya","Jobstreet","3992205","2022-08-12 12:02:32","UTC"
"Deputy Head of Internal Audit","PT RHB Sekuritas Indonesia","Jobstreet","3992380","2022-08-12 12:02:32","UTC"
"Internal Audit","PT. CJ FEED AND CARE INDONESIA (Head Office)","Jobstreet","3995001","2022-08-15 11:50:45","UTC"
"Legal and Compliance Staff","Arkademi","Glints Native","dafd09af-5d5a-462e-9bbd-0cd753a1f248","2022-08-15 11:51:47","UTC"
"Legal and Compliance Officer","Crowde","Glints Native","ca55212f-7594-4463-be57-b672c98bd5e3","2022-08-16 11:49:55","UTC"
"Internal Audit","PT. MEDIKALOKA HERMINA Tbk","Jobstreet","4000106","2022-08-19 11:58:12","UTC"
